PROGRAMA;ANUNCIANTE;FORMATO;ELENCO; CUSTO DE PRODUCAO ;CACHE EXTRA
Altas Horas;BITCOIN;Ação;Serginho Groisman e Cauê Fabiano;3330;
Altas Horas;BITCOIN;Ação;Serginho Groisman e Cauê Fabiano;3330;
Altas Horas;COCA COLA;Ação;Serginho Groisman e Lexa;3330;
Altas Horas;RIACHUELO;Ação;Serginho Groisman;5550;
Altas Horas;SPOTIFY;Ação;Serginho Groisman;8880;
Altas Horas;SPOTIFY;Ação;Serginho Groisman;8880;
Altas Horas;SPOTIFY;Ação;Serginho Groisman;8880;
Altas Horas;COCA COLA;Ação;Serginho Groisman;3330;
Altas Horas;COCA COLA;Ação;Serginho Groisman e Lexa;3330;
Altas Horas;UBER;Ação;Serginho Groisman;3330;
Altas Horas;BRASTEMP;Ação;Serginho Groisman e Felipe Andreoli;7400;
Altas Horas;NEOSALDINA;Ação;Serginho Groisman;4000;
Altas Horas;PEPSICO;Ação;Serginho Groisman;9000;
Altas Horas;SAMSUNG;Ação;Serginho_ Hebert Conceição e Diego (baterista);20000;20000
Altas Horas;NATURA;Ação;Serginho Groisman;11100;
Anota Aí;JEEP;Patrocínio;Titi Muller;32460;
Bastidores;COCA COLA;Ação;Dedé Teicher; -   ;
BBB A Eliminação;AVON;Patrocínio;Bruno de Luca e Vivian Amorim;11100;
BBB A Eliminação;AVON;Patrocínio;Bruno de Luca e Vivian Amorim;11100;
BBB A Eliminação;AVON;Patrocínio;Bruno de Luca e Vivian Amorim;11100;
BBB A Eliminação;AVON;Patrocínio;Bruno de Luca e Vivian Amorim;11100;
BBB A Eliminação;AVON;Patrocínio;Bruno de Luca e Vivian Amorim;11100;
BBB A Eliminação;ENGOV;Patrocínio;Bruno de Luca e Vivian Amorim;5550;
BBB A Eliminação;AVON;Patrocínio;Bruno de Luca e Vivian Amorim;11100;
BBB A Eliminação;AVON;Patrocínio;Bruno de Luca e Vivian Amorim;11100;
BBB A Eliminação;ENGOV;Patrocínio;Bruno de Luca e Vivian Amorim;5550;
BBB A Eliminação;AVON;Patrocínio;Bruno de Luca e Vivian Amorim;11100;
BBB A Eliminação;ENGOV;Patrocínio;Bruno de Luca e Vivian Amorim;5550;
BBB A Eliminação;AVON;Patrocínio;Bruno de Luca e Vivian Amorim;11100;
BBB A Eliminação;ENGOV;Patrocínio;Bruno de Luca e Vivian Amorim;5550;
BBB A Eliminação;AVON;Patrocínio;Bruno de Luca e Vivian Amorim;11100;
BBB A Eliminação;ENGOV;Patrocínio;Bruno de Luca e Vivian Amorim;5550;
BBB A Eliminação;AVON;Patrocínio;Bruno de Luca e Vivian Amorim;11100;
BBB A Eliminação;ENGOV;Patrocínio;Bruno de Luca e Vivian Amorim;5550;
BBB A Eliminação;AVON;Patrocínio;Bruno de Luca e Vivian Amorim;11100;
BBB A Eliminação;ENGOV;Patrocínio;Bruno de Luca e Vivian Amorim;5550;
BBB A Eliminação;AVON;Patrocínio;Bruno de Luca e Vivian Amorim;11100;
BBB A Eliminação;ENGOV;Patrocínio;Bruno de Luca e Vivian Amorim;5550;
Bem Estar;SANOFI AVENTIS;Ação;Michelle Loreto;3000;
Bem Estar;SANOFI AVENTIS;Ação;Michelle_ Fabricio_ Maria Candida;3000;
Bem Estar;NOVALGINA;Ação;Michelle Loreto;4000;
Bem Estar;NOVALGINA;Ação;Michelle Loreto;4000;
Bem Estar;VITASAY;Ação;Maria Cândida e Fabricio;4440;
Bem Estar;NOVALGINA;Ação;Michelle Loreto;4000;
Bem Estar;VITASAY 50;Ação;Michelle Loreto;4440;
Bem Estar;ACHEFARM;Ação;Michelle Loreto;4440;
Bem Estar;DORIL;Ação;Michelle Loreto;4440;
Bem Estar;ACHEFARM;Cross;Michelle Loreto;4440;
Bem Estar;NEUTROGENA;Ação;Valéria Almeida;4995;
Bem Estar;NEUTROGENA;Ação;Michelle Loreto ;4995;
Bem Estar;NEUTROGENA;Ação;Michelle Loreto ;4995;
Bem Estar;NEUTROGENA;Ação;Michelle Loreto ;4995;
Bem Estar;COLGATE;Ação;Michelle Loreto;8880;
Bem Estar;COLGATE;Ação;Michelle Loreto ;8880;
Bem Estar;MEDLEY;Ação;Michelle Loreto e Valéria Almeida;4400;
Bem Estar;MEDLEY;Cross;Michelle Loreto;4000;
Bem Estar;PLENITUD;Ação;Michelle Loreto ;3700;
Bem Estar;NEOSALDINA;Ação;Michelle Loreto ;4000;
Bem Estar;MOLICO;Ação;Michelle Loreto;8000;
Bem Juntinhos;EISENBAHN;Patrocínio;Rodrigo Hilbert;6200;
Bem Juntinhos;EISENBAHN;Patrocínio;Rodrigo Hilbert; -   ;
Bem Juntinhos;EISENBAHN;Patrocínio;Rodrigo Hilbert; -   ;
Big Brother Brasil;AMERICANAS;Patrocínio;Tiago Leifert;388500;
Big Brother Brasil;AVON;Patrocínio;Tiago Leifert;177600;
Big Brother Brasil;PICPAY;Ação;Iza ;350000;
Big Brother Brasil;PICPAY;Visualização;NA;80000;
Big Brother Brasil;BASTON;Patrocínio;Tiago Leifert;333000;
Big Brother Brasil;PICPAY;Ação;Ana Clara ;113200;
Big Brother Brasil;CA MODAS;Patrocínio;Tiago Leifert;144300;
Big Brother Brasil;COCA COLA;Ação;Tiago Leifert;150017;
Big Brother Brasil;AMERICANAS;Ação;Tiago Leifert;122100;
Big Brother Brasil;MC DONALD S;Patrocínio;Tiago Leifert;333000;
Big Brother Brasil;MC DONALD S;Ação;Tiago Leifert;5550;
Big Brother Brasil;AMERICANAS;Patrocínio;Tiago Leifert;92500;
Big Brother Brasil;AVON;Patrocínio;Tiago Leifert;244200;
Big Brother Brasil;PICPAY;Ação;NA;111000;
Big Brother Brasil;AMERICANAS;Patrocínio;Tiago Leifert;122100;
Big Brother Brasil;COCA COLA;Patrocínio;Tiago Leifert;366618;
Big Brother Brasil;PICPAY;Ação;Ana Clara ;344100;
Big Brother Brasil;CERVEJARIA HEINEKEN;Patrocínio;Tiago Leifert;444000;
Big Brother Brasil;AMERICANAS;Visualização;NA;55500;
Big Brother Brasil;PICPAY;Ação;NA;44400;
Big Brother Brasil;CA MODAS;Patrocínio;Tiago Leifert;255300;
Big Brother Brasil;BASTON;Patrocínio;Tiago Leifert;488000;
Big Brother Brasil;AMERICANAS;Patrocínio;Tiago Leifert;330000;
Big Brother Brasil;AVON;Patrocínio;Tiago Leifert;421800;
Big Brother Brasil;AMERICANAS;Patrocínio;Tiago Leifert;92500;
Big Brother Brasil;PANTENE;Patrocínio;Tiago Leifert;394050;
Big Brother Brasil;CA MODAS;Patrocínio;Tiago Leifert;366300;
Big Brother Brasil;AMERICANAS;Ação;Tiago Leifert _ Thiaguinho;943500;
Big Brother Brasil;AMERICANAS;Patrocínio;Tiago Leifert;92500;
Big Brother Brasil;CA MODAS;Ação;Tiago ; -   ;
Big Brother Brasil;PICPAY;Ação;Ana Clara ;88800;
Big Brother Brasil;AMERICANAS;Patrocínio;Tiago Leifert;532800;
Big Brother Brasil;CA MODAS;Patrocínio;Tiago leifert;867410;
Big Brother Brasil;AMERICANAS;Patrocínio;Tiago Leifert;55000;
Big Brother Brasil;FISK;Ação;Tiago Leifert;222000;
Big Brother Brasil;AVON;Patrocínio;Tiago Leifert _ Thelminha;133200;
Big Brother Brasil;AMERICANAS;Patrocínio;Tiago Leifert _ Ingrid Guimarães ;133200;
Big Brother Brasil;IFOOD;Ação;Tiago Leifert;11100;
Big Brother Brasil;AMERICANAS;Patrocínio;Tiago Leifert;55000;
Big Brother Brasil;PICPAY;Ação;Ana Clara ;33300;
Big Brother Brasil;SEARA;Patrocínio;Tiago Leifert;222000;
Big Brother Brasil;AMERICANAS;Patrocínio;Tiago Leifert;133200;
Big Brother Brasil;FIAT;Patrocínio;Tiago Leifert;502117;
Big Brother Brasil;ORGANNACT;Ação;Tiago Leifert;277500;
Big Brother Brasil;AMERICANAS;Patrocínio;Tiago Leifert;55000;
Big Brother Brasil;PICPAY;Visualização;NA;33300;
Big Brother Brasil;HOTEIS COM;Ação;Tiago Leifert;220000;
Big Brother Brasil;PICPAY;Ação;NA;33300;
